icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
acea96,NKS3583 ,United States,1714046169,1714046174,-71.0056,42.3709,,True,0.51,315.0,,,,3645,False,0
a32ef8,JBU2186 ,United States,1714046055,1714046055,-71.0139,42.3676,,True,0.0,300.94,,,,,False,0
ad7e6f,JBU133  ,United States,1714046174,1714046174,-71.0148,42.3683,,True,0.0,247.5,,,,,False,0
a0aa7c,DAL1094 ,United States,1714046172,1714046174,-71.015,42.3536,,True,0.06,123.75,,,,,False,0
a1e946,RPA5783 ,United States,1714045946,1714045949,-71.0244,42.3619,,True,0.0,281.25,,,,7110,False,0
a230d6,RPA5678 ,United States,1714046112,1714046112,-71.0203,42.3638,,True,0.9,306.56,,,,4171,False,0
a5307f,RPA4725 ,United States,1714046174,1714046174,-71.0143,42.3536,,True,0.0,33.75,,,,,False,0
a22ab9,JBU717  ,United States,1714046173,1714046173,-71.0137,42.3661,,True,0.0,289.69,,,,,False,0
a24369,RPA5659 ,United States,1714046173,1714046173,-71.0229,42.3617,,True,8.75,22.5,,,,4065,False,0
acf54f,JBU988  ,United States,1714046174,1714046174,-71.0125,42.3688,,True,7.2,225.0,,,,7323,False,0
a6ab27,JBU203  ,United States,1714046172,1714046174,-71.0149,42.3674,,True,0.0,334.69,,,,,False,0
a08acb,RPA4364 ,United States,1714047073,1714047073,-71.0228,42.3615,,True,4.89,343.12,,,,,False,0
a69bcd,DAL1780 ,United States,1714047066,1714047069,-71.0221,42.3637,,True,1.29,59.06,,,,,False,0
a890a4,KAP440  ,United States,1714047074,1714047074,-71.0114,42.3518,-91.44,False,46.72,20.63,-2.28,,-7.62,,False,0
a4870d,FFT2167 ,United States,1714047071,1714047071,-71.0246,42.3709,,True,0.0,225.0,,,,,False,0
a66576,DAL2474 ,United States,1714047035,1714047035,-71.0234,42.3626,,True,1.03,182.81,,,,,False,0
