icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
4b1881,SWR52   ,Switzerland,1713398182,1713398182,-71.0071,42.3607,-68.58,False,70.63,20.02,-0.65,,-15.24,,False,0
a0311d,DAL2420 ,United States,1713398182,1713398182,-71.0167,42.3573,,True,2.83,236.25,,,,,False,0
49530a,TAP215  ,Portugal,1713397890,1713397890,-71.0234,42.3725,,True,0.0,61.88,,,,,False,0
a2ce7d,FDX3714 ,United States,1713398182,1713398182,-70.9791,42.3796,1859.28,False,130.01,154.45,-9.43,,1874.52,4075,False,0
a7d83a,VNT06   ,United States,1713398175,1713398179,-71.0216,42.3744,,True,0.0,312.19,,,,,False,0
a1fbd9,RPA5628 ,United States,1713398182,1713398182,-71.012,42.3683,,True,7.46,135.0,,,,2242,False,0
a03b67,DAL1707 ,United States,1713398140,1713398140,-71.0245,42.3639,,True,0.19,272.81,,,,5751,False,0
a1be10,RPA5751 ,United States,1713398081,1713398087,-71.0213,42.3628,,True,0.64,255.94,,,,,False,0
a67805,DAL937  ,United States,1713398181,1713398181,-71.0023,42.3746,,True,10.29,348.75,,,,2070,False,0
a2d27c,JBU2754 ,United States,1713398178,1713398178,-71.0139,42.3664,,True,0.0,244.69,,,,6516,False,0
a33a1d,JBU1246 ,United States,1713398178,1713398178,-71.0147,42.3662,,True,0.0,213.75,,,,3042,False,0
ad9ac9,JBU1734 ,United States,1713398169,1713398169,-71.0143,42.368,,True,0.0,258.75,,,,3220,False,0
a4c96c,JBU33   ,United States,1713398174,1713398179,-71.0178,42.3681,,True,0.0,241.88,,,,,False,0
a01b56,DAL385  ,United States,1713398182,1713398182,-70.9707,42.3635,320.04,False,80.23,75.52,11.7,,350.52,,False,0
a3f82a,JBU1559 ,United States,1713398166,1713398177,-71.0141,42.3654,,True,0.0,329.06,,,,1535,False,0
ad2baa,JBU2052 ,United States,1713398182,1713398182,-71.0505,42.271,487.68,False,94.06,19.82,-5.2,,525.78,7371,False,0
4bb0f2,THY81D  ,Turkey,1713398182,1713398182,-71.0194,42.371,,True,1.03,213.75,,,,,False,0
a1f46b,RPA5805 ,United States,1713398182,1713398182,-71.0124,42.3654,,True,7.2,199.69,,,,3773,False,0
a4c9f8,JBU8427 ,United States,1713397921,1713397921,-71.0147,42.3648,,True,0.0,340.31,,,,,False,0
a1ecfd,RPA5691 ,United States,1713397995,1713397995,-71.0216,42.3636,,True,0.0,39.38,,,,0513,False,0
a3b09a,JBU2185 ,United States,1713397914,1713397976,-71.0142,42.3674,,True,0.0,345.94,,,,,False,0
aa3994,AAL2148 ,United States,1713398126,1713398126,-71.0186,42.3602,,True,0.0,30.94,,,,2450,False,0
a33843,JBU2230 ,United States,1713398182,1713398182,-70.9704,42.2293,1082.04,False,132.76,197.59,-11.05,,1097.28,3440,True,0
ade9c0,JBU561  ,United States,1713398178,1713398179,-71.0174,42.3677,,True,0.0,213.75,,,,,False,0
add790,NKS3582 ,United States,1713398182,1713398182,-70.7758,42.3832,1912.62,False,146.84,106.28,15.61,,1912.62,,False,0
a44f3b,EJA377  ,United States,1713398172,1713398172,-71.0217,42.3742,,True,0.45,326.25,,,,2234,False,0
43e8b3,MEVAN   ,United Kingdom,1713397991,1713397991,-71.0226,42.3743,,True,0.0,312.19,,,,1755,False,0
ad2445,JBU777  ,United States,1713398168,1713398180,-71.0157,42.3644,,True,0.0,120.94,,,,,False,0
a825e3,JBU1303 ,United States,1713398179,1713398179,-71.016,42.3676,,True,0.0,151.88,,,,,False,0
a20957,RPA5696 ,United States,1713398181,1713398181,-71.0124,42.358,,True,6.17,182.81,,,,,False,0
a6504b,ASA311  ,United States,1713398174,1713398178,-71.0172,42.3636,,True,0.0,177.19,,,,,False,0
a22ab9,JBU2017 ,United States,1713398180,1713398180,-71.0137,42.3661,,True,0.0,289.69,,,,,False,0
a1d45a,RPA5712 ,United States,1713398181,1713398181,-71.0227,42.3633,,True,1.29,312.19,,,,,False,0
