icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
4b1881,SWR52   ,Switzerland,1713398454,1713398454,-71.0106,42.3707,,True,8.75,205.31,,,,,False,0
a0311d,DAL2420 ,United States,1713398222,1713398222,-71.0173,42.3572,,True,0.39,255.94,,,,,False,0
495308,TAP203  ,Portugal,1713398454,1713398454,-71.1863,42.3107,7421.88,False,174.57,252.15,-3.58,,7566.66,,False,0
a7d83a,VNT06   ,United States,1713398446,1713398446,-71.0216,42.3744,,True,0.0,312.19,,,,,False,0
a1fbd9,RPA5628 ,United States,1713398452,1713398452,-71.0227,42.3632,,True,4.37,306.56,,,,2242,False,0
a58c29,AAL2602 ,United States,1713398454,1713398454,-71.0047,42.3658,,True,30.35,22.5,,,,3416,False,0
a03b67,DAL1707 ,United States,1713398140,1713398140,-71.0245,42.3639,,True,0.19,272.81,,,,5751,False,0
a1be10,RPA5751 ,United States,1713398454,1713398454,-71.0132,42.3575,,True,4.63,115.31,,,,,False,0
a67805,DAL937  ,United States,1713398454,1713398454,-71.0123,42.3686,,True,5.92,182.81,,,,2070,False,0
a2d27c,JBU2754 ,United States,1713398392,1713398449,-71.0138,42.3664,,True,0.0,244.69,,,,6516,False,0
a33a1d,JBU1246 ,United States,1713398411,1713398416,-71.0147,42.3661,,True,0.0,213.75,,,,3042,False,0
ad9ac9,JBU1734 ,United States,1713398444,1713398444,-71.0143,42.368,,True,0.0,258.75,,,,3220,False,0
a1d2dc,JBU353  ,United States,1713398618,1713398618,-71.0169,42.3676,,True,0.0,208.12,,,,,False,0
a1d45a,RPA5712 ,United States,1713398625,1713398626,-71.0044,42.3573,-53.34,False,55.03,76.48,0.0,,-15.24,,False,0
4b1881,SWR52   ,Switzerland,1713398685,1713398685,-71.0227,42.3713,,True,3.6,222.19,,,,,False,0
a2ce7d,FDX3714 ,United States,1713398686,1713398686,-71.0158,42.3429,30.48,False,73.71,19.57,-3.9,,60.96,4075,False,0
a7d83a,VNT06   ,United States,1713398661,1713398661,-71.0216,42.3744,,True,0.0,312.19,,,,,False,0
a1fbd9,RPA5628 ,United States,1713398490,1713398490,-71.0237,42.3643,,True,5.4,348.75,,,,2242,False,0
a58c29,AAL2602 ,United States,1713398686,1713398686,-71.0118,42.3666,,True,7.46,199.69,,,,3416,False,0
a1be10,RPA5751 ,United States,1713398686,1713398686,-70.8209,42.3885,1463.04,False,130.95,83.68,15.93,,1493.52,,False,0
a67805,DAL937  ,United States,1713398684,1713398684,-71.0232,42.361,,True,3.34,241.88,,,,2070,False,0
a2d27c,JBU2754 ,United States,1713398582,1713398582,-71.0138,42.3664,,True,0.0,244.69,,,,6516,False,0
a33a1d,JBU1246 ,United States,1713398686,1713398686,-71.0147,42.3662,,True,0.0,213.75,,,,3042,False,0
ad9ac9,JBU1734 ,United States,1713398679,1713398679,-71.0143,42.368,,True,0.0,258.75,,,,3220,False,0
a4c96c,JBU33   ,United States,1713398680,1713398685,-71.0178,42.3681,,True,0.0,241.88,,,,,False,0
a3f82a,JBU1559 ,United States,1713398643,1713398643,-71.0141,42.3654,,True,0.0,329.06,,,,1535,False,0
ad2baa,JBU2052 ,United States,1713398674,1713398674,-71.0124,42.3674,,True,0.0,174.38,,,,7371,False,0
a1f46b,RPA5805 ,United States,1713398489,1713398489,-71.0228,42.3641,,True,0.13,64.69,,,,3773,False,0
a898a9,JBU691  ,United States,1713398677,1713398681,-71.0156,42.3679,,True,0.0,132.19,,,,,False,0
a3355e,JBU1806 ,United States,1713398685,1713398685,-71.0076,42.3725,,True,3.86,329.06,,,,1430,False,0
a1c935,RPA5703 ,United States,1713398686,1713398686,-71.0066,42.3717,,True,3.34,315.0,,,,1630,False,0
a38cd2,JBU1332 ,United States,1713398686,1713398686,-71.0426,42.2871,373.38,False,77.62,19.76,-3.9,,411.48,1766,False,0
acb5d2,EJA918  ,United States,1713398686,1713398686,-71.0691,42.2322,678.18,False,95.68,19.8,-3.9,,685.8,7167,False,0
a3b09a,JBU2185 ,United States,1713398681,1713398681,-71.0128,42.3646,,True,7.46,199.69,,,,,False,0
aa3994,AAL2148 ,United States,1713398683,1713398685,-71.0186,42.3603,,True,0.0,30.94,,,,,False,0
a33843,JBU2230 ,United States,1713398685,1713398685,-71.0057,42.371,,True,2.06,317.81,,,,3440,True,0
ade9c0,JBU561  ,United States,1713398669,1713398683,-71.0174,42.3677,,True,0.0,213.75,,,,,False,0
ad2445,JBU777  ,United States,1713398686,1713398686,-71.0022,42.371,-38.1,False,91.77,19.65,8.13,,0.0,,False,0
a825e3,JBU1303 ,United States,1713398606,1713398606,-71.0161,42.3696,,True,0.51,30.94,,,,,False,0
a6504b,ASA311  ,United States,1713398683,1713398683,-71.0155,42.3589,,True,8.75,199.69,,,,,False,0
a22ab9,JBU2017 ,United States,1713398658,1713398684,-71.0137,42.3661,,True,0.0,289.69,,,,,False,0
a1d2dc,JBU353  ,United States,1713398659,1713398659,-71.0169,42.3676,,True,0.0,208.12,,,,,False,0
a1d45a,RPA5712 ,United States,1713398685,1713398685,-70.9508,42.3665,388.62,False,90.51,77.86,5.53,,419.1,,False,0
4b1881,SWR52   ,Switzerland,1713398751,1713398752,-71.0222,42.3704,,True,1.03,140.62,,,,,False,0
a2ce7d,FDX3714 ,United States,1713398752,1713398752,-71.0019,42.3718,,True,14.4,11.25,,,,4075,False,0
a7d83a,VNT06   ,United States,1713398736,1713398747,-71.0216,42.3744,,True,0.0,312.19,,,,,False,0
a1fbd9,RPA5628 ,United States,1713398490,1713398490,-71.0237,42.3643,,True,5.4,348.75,,,,2242,False,0
