icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
a6cacb,DAL408  ,United States,1713400742,1713400742,-71.0066,42.378,,True,2.31,19.69,,,,,False,0
a35d73,DAL1513 ,United States,1713400742,1713400742,-71.0235,42.3614,,True,2.83,180.0,,,,,False,0
a22ac6,RPA5622 ,United States,1713400743,1713400743,-71.0121,42.3628,-53.34,False,80.74,200.51,6.83,,-7.62,,False,0
a22ab9,JBU2017 ,United States,1713400737,1713400737,-71.0089,42.3733,,True,7.46,19.69,,,,,False,0
a86540,PDT5730 ,United States,1713400743,1713400743,-70.9961,42.3246,525.78,False,102.5,130.73,8.78,,556.26,,False,0
a1ba59,RPA5629 ,United States,1713400709,1713400709,-71.0237,42.365,,True,0.0,174.38,,,,,False,0
a88072,NKS2324 ,United States,1713400784,1713400791,-71.0058,42.3784,,True,0.0,101.25,,,,,False,0
aa099e,JBU393  ,United States,1713400791,1713400791,-70.8534,42.3314,1562.1,False,138.15,55.01,17.88,,1592.58,,False,0
4cc279,ICE630  ,Iceland,1713400761,1713400761,-71.0186,42.3718,,True,0.0,123.75,,,,,False,0
a1fbd9,RPA5592 ,United States,1713400618,1713400618,-71.0232,42.3656,,True,0.0,98.44,,,,,False,0
a33a1d,JBU715  ,United States,1713400777,1713400777,-71.0147,42.3662,,True,0.0,213.75,,,,3042,False,0
a2348d,RPA5671 ,United States,1713400788,1713400788,-71.023,42.3644,,True,0.0,81.56,,,,,False,0
ad9ac9,JBU333  ,United States,1713400791,1713400791,-71.0143,42.3681,,True,0.0,258.75,,,,3220,False,0
a5d623,UAL1449 ,United States,1713400785,1713400785,-71.015,42.3588,,True,7.72,281.25,,,,2541,False,0
ad2baa,JBU2052 ,United States,1713400523,1713400523,-71.0156,42.3653,,True,1.29,33.75,,,,,False,0
ad3581,JBU8582 ,United States,1713400791,1713400791,-71.0,42.3755,-45.72,False,60.53,199.36,-3.58,,7.62,5653,False,0
a4c9f8,,United States,1713400780,1713400780,-71.0144,42.3641,,True,0.9,298.12,,,,,False,0
896453,UAE62Y  ,United Arab Emirates,1713400598,1713400602,-71.0214,42.3707,,True,0.32,149.06,,,,,False,0
a898a9,JBU691  ,United States,1713400789,1713400789,-71.0156,42.3679,,True,0.0,132.19,,,,,False,0
3475d3,IBE2625 ,Spain,1713400787,1713400787,-71.0173,42.3699,,True,0.0,289.69,,,,,False,0
a8222c,,United States,1713400785,1713400785,-71.0177,42.3566,,True,0.0,258.75,,,,,False,0
a83564,EJA628  ,United States,1713400788,1713400788,-71.0207,42.3739,,True,0.0,132.19,,,,6313,False,0
acb5d2,EJA918  ,United States,1713400699,1713400699,-71.022,42.3741,,True,0.0,312.19,,,,,False,0
ade9c0,JBU561  ,United States,1713400710,1713400710,-71.0166,42.369,,True,1.29,33.75,,,,,False,0
abf96c,SWA582  ,United States,1713400784,1713400789,-71.0048,42.3778,,True,0.0,196.88,,,,,False,0
a6cacb,DAL408  ,United States,1713400749,1713400749,-71.0066,42.3782,,True,1.54,22.5,,,,,False,0
a35d73,DAL1513 ,United States,1713400791,1713400791,-71.0215,42.3598,,True,5.4,120.94,,,,,False,0
a22ac6,RPA5622 ,United States,1713400791,1713400791,-71.0077,42.333,502.92,False,92.52,125.72,3.9,,533.4,,False,0
