icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
a35592,JBU591  ,United States,1713884366,1713884366,-71.0142,42.368,,True,0.06,261.56,,,,3637,False,0
a04e00,DAL2456 ,United States,1713884358,1713884367,-71.0207,42.3636,,True,0.06,5.62,,,,2267,False,0
a4d65c,RPA4334 ,United States,1713884369,1713884369,-71.0214,42.3622,,True,0.0,151.88,,,,4077,False,0
a9c5c5,JBU651  ,United States,1713884350,1713884365,-71.0172,42.3654,,True,0.0,303.75,,,,2603,False,0
adc96f,MTN8310 ,United States,1713884363,1713884370,-71.0047,42.3779,,True,0.06,213.75,,,,,False,0
a2dda1,JBU709  ,United States,1713884370,1713884370,-71.0143,42.37,,True,4.37,135.0,,,,4121,False,0
a358bd,JBU392  ,United States,1713884369,1713884369,-71.0061,42.3628,,True,23.66,199.69,,,,7532,True,0
a4c9d5,JBU1621 ,United States,1713884369,1713884369,-71.0124,42.367,,True,4.89,329.06,,,,7254,False,0
a21519,,United States,1713884324,1713884324,-71.0155,42.3735,,True,7.72,312.19,,,,,False,0
a262ad,ASA537  ,United States,1713884369,1713884369,-71.0141,42.3638,,True,5.4,112.5,,,,,False,0
abb972,SWA2676 ,United States,1713884363,1713884363,-71.0155,42.3636,,True,0.0,264.38,,,,3111,False,0
ac1f61,RPA5620 ,United States,1713884366,1713884366,-71.0152,42.3588,,True,8.23,281.25,,,,0502,False,0
a0267b,DAL849  ,United States,1713884369,1713884370,-71.0246,42.3647,,True,0.0,272.81,,,,0572,False,0
a3b063,LXJ337  ,United States,1713884365,1713884365,-71.0212,42.3746,,True,0.0,312.19,,,,1542,False,0
a4da13,RPA4349 ,United States,1713884368,1713884368,-71.0214,42.3608,,True,1.03,45.0,,,,,False,0
a2f092,ENY3807 ,United States,1713884230,1713884230,-71.0202,42.3614,,True,0.39,25.31,,,,6716,False,0
a448d5,UAL1187 ,United States,1713884197,1713884197,-71.0171,42.3626,,True,1.03,300.94,,,,1703,False,0
a36553,JBU2432 ,United States,1713884202,1713884202,-71.0153,42.3664,,True,0.0,236.25,,,,2604,False,0
ab1c04,AAL877  ,United States,1713884369,1713884369,-71.0197,42.3611,,True,0.0,81.56,,,,2314,False,0
a35592,JBU591  ,United States,1713884422,1713884422,-71.0142,42.368,,True,0.06,261.56,,,,3637,False,0
a04e00,DAL2456 ,United States,1713884423,1713884423,-71.0207,42.3636,,True,0.06,5.62,,,,2267,False,0
a4d65c,RPA4334 ,United States,1713884379,1713884383,-71.0214,42.3622,,True,0.0,151.88,,,,4077,False,0
a9c5c5,JBU651  ,United States,1713884420,1713884420,-71.0172,42.3654,,True,0.0,303.75,,,,2603,False,0
adc96f,MTN8310 ,United States,1713884426,1713884426,-71.0132,42.3644,60.96,False,46.3,216.87,7.15,,114.3,,False,0
a2dda1,JBU709  ,United States,1713884426,1713884426,-71.0116,42.3695,,True,6.43,45.0,,,,4121,False,0
a358bd,JBU392  ,United States,1713884424,1713884425,-71.0105,42.3623,,True,1.54,295.31,,,,7532,True,0
a4c9d5,JBU1621 ,United States,1713884424,1713884424,-71.0148,42.3695,,True,5.92,315.0,,,,7254,False,0
a21519,,United States,1713884390,1713884390,-71.0194,42.3765,,True,6.69,312.19,,,,,False,0
a262ad,ASA537  ,United States,1713884425,1713884425,-71.0117,42.3667,,True,7.72,19.69,,,,,False,0
abb972,SWA2676 ,United States,1713884418,1713884424,-71.0155,42.3636,,True,0.0,264.38,,,,3111,False,0
adf4e9,JBU2895 ,United States,1713884424,1713884426,-71.0169,42.3676,,True,0.0,208.12,,,,,False,0
ac1f61,RPA5620 ,United States,1713884424,1713884424,-71.0204,42.3594,,True,9.77,300.94,,,,0502,False,0
a0267b,DAL849  ,United States,1713884377,1713884381,-71.0246,42.3647,,True,0.0,272.81,,,,0572,False,0
a3b063,LXJ337  ,United States,1713884416,1713884416,-71.0212,42.3746,,True,0.0,312.19,,,,1542,False,0
a4da13,RPA4349 ,United States,1713884424,1713884425,-71.0219,42.3608,,True,0.0,120.94,,,,,False,0
a2f092,ENY3807 ,United States,1713884230,1713884230,-71.0202,42.3614,,True,0.39,25.31,,,,6716,False,0
a448d5,UAL1187 ,United States,1713884197,1713884197,-71.0171,42.3626,,True,1.03,300.94,,,,1703,False,0
a36553,JBU2432 ,United States,1713884202,1713884202,-71.0153,42.3664,,True,0.0,236.25,,,,2604,False,0
ab1c04,AAL877  ,United States,1713884421,1713884425,-71.0197,42.361,,True,0.0,81.56,,,,2314,False,0
